Top sto besed,Frekvenca besed v DELU III
og,578
det,492
på,438
han,392
i,351
som,323
en,280
var,289
at,260
hadde,222
å,236
til,216
ikke,215
harry,259
hun,183
av,170
er,213
med,190
så,193
den,161
jeg,201
seg,147
sa,179
du,145
de,151
for,129
et,115
men,118
om,132
har,117
fra,86
ut,90
ham,78
da,76
opp,50
vi,95
hva,71
mot,50
bare,66
noe,65
inn,55
over,42
kunne,40
der,39
kom,41
henne,42
gikk,46
hans,47
nå,42
ville,49
etter,38
eller,46
igjen,39
katrine,62
skulle,29
dem,45
noen,38
kan,40
ble,41
meg,43
deg,32
ned,32
ved,27
hennes,23
andre,52
dette,30
hvor,38
to,27
mathias,8
her,32
før,32
ha,38
være,21
vil,25
selv,29
vært,28
visste,21
sto,27
kjente,23
fikk,29
støp,46
alle,28
siden,25
se,34
ja,24
sin,24
mens,16
skal,31
alt,23
måtte,18
rundt,19
spurte,32
ingen,21
la,22
når,29
skarre,26
hodet,16
under,15
hagen,36
jo,24
